time,open,high,low,close,Volume,Accumulation/Distribution,RSI
2022-01-14T09:30:00-05:00,171.34,171.98,171.28,171.76,1176389,79237797.7,32.48806835
2022-01-14T09:31:00-05:00,171.745,172.31,171.745,172.13,425749,79392273,42.30572135
2022-01-14T09:32:00-05:00,172.15,172.2794,171.98,172.01,267611,79178291.46,40.26081282
2022-01-14T09:33:00-05:00,172,172.09,171.61,171.78,374302,79069120.04,36.60834688
2022-01-14T09:34:00-05:00,171.775,171.79,171.31,171.44,287725,78937246.09,31.98844706
2022-01-14T09:35:00-05:00,171.45,172.2658,171.445,172.19,427204,79285546.42,47.67503299
2022-01-14T09:36:00-05:00,172.21,172.39,171.92,172.15,343018,79278248.17,47.05172215
2022-01-14T09:37:00-05:00,172.15,172.21,171.9032,172.1,315660,79367554.84,46.23794242
2022-01-14T09:38:00-05:00,172.14,172.46,172.07,172.41,324849,79609109.23,51.80366705
2022-01-14T09:39:00-05:00,172.42,172.51,172.31,172.47,223928,79743466.03,52.82170121
2022-01-14T09:40:00-05:00,172.45,172.69,172.36,172.52,292850,79734591.79,53.69938594
2022-01-14T09:41:00-05:00,172.52,172.52,172.23,172.3,288540,79585346.96,49.34914548
2022-01-14T09:42:00-05:00,172.31,172.52,172.15,172.224,224054,79450914.56,47.90535685
2022-01-14T09:43:00-05:00,172.2205,172.49,172.1801,172.37,186884,79493067.48,50.87852406
2022-01-14T09:44:00-05:00,172.36,172.77,172.35,172.6702,229869,79613693.98,56.38985302
2022-01-14T09:45:00-05:00,172.68,172.9599,172.61,172.7798,249607,79606346.3,58.2323611
2022-01-14T09:46:00-05:00,172.78,172.88,172.6401,172.8701,196417,79786552.14,59.74154055
2022-01-14T09:47:00-05:00,172.84,172.97,172.51,172.57,290794,79571617.45,52.90047911
2022-01-14T09:48:00-05:00,172.57,172.77,172.51,172.68,263541,79652706.99,54.93740238
2022-01-14T09:49:00-05:00,172.67,172.91,172.37,172.5399,254937,79558191.45,51.8610932
2022-01-14T09:50:00-05:00,172.54,172.67,172.5,172.59,190191,79569379.16,52.87728673
2022-01-14T09:51:00-05:00,172.59,172.88,172.59,172.85,143893,79683501.19,57.85004778
2022-01-14T09:52:00-05:00,172.85,172.96,172.58,172.6736,240519,79561469.45,53.70887567
2022-01-14T09:53:00-05:00,172.66,172.97,172.66,172.8268,237825,79579574.84,56.61368225
2022-01-14T09:54:00-05:00,172.83,172.94,172.78,172.9273,167051,79720106.49,58.45541208
2022-01-14T09:55:00-05:00,172.92,173.41,172.89,173.41,386072,80106178.49,65.93499681
2022-01-14T09:56:00-05:00,173.42,173.44,173.24,173.2825,220621,79979321.42,62.72277263
2022-01-14T09:57:00-05:00,173.28,173.51,173.22,173.38,175333,79997459.31,64.16067307
2022-01-14T09:58:00-05:00,173.395,173.49,173.12,173.2,174628,79898346.12,59.59067426
2022-01-14T09:59:00-05:00,173.2,173.37,173.2,173.3609,122781,80007982.33,62.18363074
2022-01-14T10:00:00-05:00,173.37,173.5,173.01,173.11,302550,79828922.13,56.13475383
2022-01-14T10:01:00-05:00,173.1,173.22,172.98,173.01,205564,79674749.13,53.88492252
2022-01-14T10:02:00-05:00,173.01,173.19,172.82,172.9079,217518,79560581.57,51.61052268
2022-01-14T10:03:00-05:00,172.91,172.98,172.65,172.71,180404,79445779.03,47.43153165
2022-01-14T10:04:00-05:00,172.71,173.12,172.67,173.0499,199408,79583060.36,54.27912235
2022-01-14T10:05:00-05:00,173.0202,173.44,173.02,173.37,237047,79741091.69,59.61441277
2022-01-14T10:06:00-05:00,173.36,173.39,173.11,173.13,168271,79596859.41,54.48107949
2022-01-14T10:07:00-05:00,173.13,173.29,173.07,173.15,193668,79544040.86,54.83013973
2022-01-14T10:08:00-05:00,173.15,173.47,173.15,173.4698,147834,79691690.07,60.09909289
2022-01-14T10:09:00-05:00,173.47,173.48,173.14,173.3019,182754,79682982.38,56.38063816
2022-01-14T10:10:00-05:00,173.31,173.36,173.18,173.31,87001,79721649.49,56.52040338
2022-01-14T10:11:00-05:00,173.33,173.78,173.33,173.7618,249033,79950538.49,63.5382407
2022-01-14T10:12:00-05:00,173.7671,173.77,173.39,173.45,175275,79830613.49,56.73265557
2022-01-14T10:13:00-05:00,173.4336,173.51,173.31,173.425,145168,79852388.69,56.21276278
2022-01-14T10:14:00-05:00,173.43,173.46,173.1001,173.175,190372,79741254.6,51.16352496
2022-01-14T10:15:00-05:00,173.18,173.615,173.18,173.4885,213220,79830463.89,56.44669113
2022-01-14T10:16:00-05:00,173.47,173.4782,173.3207,173.39,116044,79816538.61,54.45345491
2022-01-14T10:17:00-05:00,173.36,173.48,173.06,173.1,215227,79642307.23,48.9706522
2022-01-14T10:18:00-05:00,173.0948,173.27,173.06,173.17,140599,79649002.42,50.272203
2022-01-14T10:19:00-05:00,173.2,173.64,173.16,173.51,260014,79768175.5,56.12571746
2022-01-14T10:20:00-05:00,173.53,173.55,173.16,173.2479,134958,79694052.41,51.12928541
2022-01-14T10:21:00-05:00,173.24,173.31,173.1,173.1584,135446,79633940.19,49.50852519
2022-01-14T10:22:00-05:00,173.15,173.2372,173.1,173.16,122347,79618602.23,49.53932045
2022-01-14T10:23:00-05:00,173.15,173.27,173.06,173.18,132954,79637595.66,49.95024526
2022-01-14T10:24:00-05:00,173.18,173.26,172.88,172.96,173756,79537000.08,45.55555769
2022-01-14T10:25:00-05:00,172.96,173.16,172.88,172.9999,119566,79519833.82,46.47532781
2022-01-14T10:26:00-05:00,172.99,173.04,172.77,172.8568,167575,79460003.33,43.62858464
2022-01-14T10:27:00-05:00,172.86,172.97,172.73,172.83,126275,79438957.5,43.09617684
2022-01-14T10:28:00-05:00,172.84,172.91,172.72,172.73,96798,79352348.76,41.08165885
2022-01-14T10:29:00-05:00,172.72,172.81,172.66,172.695,119653,79288533.83,40.37036701
2022-01-14T10:30:00-05:00,172.6982,172.72,172.43,172.459,192363,79134643.43,35.86159659
2022-01-14T10:31:00-05:00,172.46,172.58,172.43,172.54,121846,79191504.9,38.40434393
2022-01-14T10:32:00-05:00,172.5416,172.63,172.44,172.58,103146,79240363.53,39.67618693
2022-01-14T10:33:00-05:00,172.576,172.73,172.53,172.72,118886,79347360.93,44.03206236
2022-01-14T10:34:00-05:00,172.7175,172.83,172.62,172.82,169399,79500626.69,46.97720242
2022-01-14T10:35:00-05:00,172.81,172.82,172.64,172.72,150473,79483907.47,44.45779035
2022-01-14T10:36:00-05:00,172.72,172.79,172.66,172.71,69863,79467785.24,44.20249464
2022-01-14T10:37:00-05:00,172.72,172.72,172.33,172.4,158446,79366217.29,37.09169143
2022-01-14T10:38:00-05:00,172.39,172.6165,172.32,172.59,142015,79482846.81,43.13020608
2022-01-14T10:39:00-05:00,172.58,172.77,172.57,172.59,117931,79388502.01,43.13020608
2022-01-14T10:40:00-05:00,172.59,172.5977,172.34,172.3556,99427,79301112.74,37.92201515
2022-01-14T10:41:00-05:00,172.36,172.5,172.34,172.47,127854,79381021.49,41.62687199
2022-01-14T10:42:00-05:00,172.48,172.63,172.42,172.59,138346,79466664.25,45.31369512
2022-01-14T10:43:00-05:00,172.59,172.6,172.43,172.5,90542,79450686.25,43.11428378
2022-01-14T10:44:00-05:00,172.5,172.52,171.77,171.81,739582,78789992.99,30.77953515
2022-01-14T10:45:00-05:00,171.83,172.05,171.68,171.715,462352,78415112.99,29.52700629
2022-01-14T10:46:00-05:00,171.715,172.09,171.715,171.905,330795,78419523.59,35.2060453
2022-01-14T10:47:00-05:00,171.91,172.3,171.82,172.25,267414,78631226.34,44.02639121
2022-01-14T10:48:00-05:00,172.23,172.41,172.2,172.26,240309,78528236.77,44.26323308
2022-01-14T10:49:00-05:00,172.27,172.46,172.15,172.45,189486,78705497.87,48.70436692
2022-01-14T10:50:00-05:00,172.46,172.46,172.21,172.411,136733,78788631.53,47.86135681
2022-01-14T10:51:00-05:00,172.42,172.44,172.19,172.23,135034,78696808.41,44.05056668
2022-01-14T10:52:00-05:00,172.2199,172.22,171.98,172.08,163355,78669582.58,41.12799651
2022-01-14T10:53:00-05:00,172.09,172.09,171.88,171.98,240370,78658136.39,39.25802365
