time,open,high,low,close,Volume,Volume MA,Accumulation/Distribution,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2022-01-14T09:30:00-05:00,71.3,71.98,71.041,71.544,102587,37464.55,2309849.361916425,28.678448968431738,37.46191752075464,NaN,NaN
2022-01-14T09:31:00-05:00,71.63,72.4,71.5201,72.36,45217,39035.4,2350955.258381932,49.92418345410358,38.352501224965785,NaN,NaN
2022-01-14T09:32:00-05:00,72.45,72.7223,71.91,72.245,32279,40065.35,2345300.572059145,47.76469757875385,39.0601249255482,NaN,NaN
2022-01-14T09:33:00-05:00,72.31,72.6,71.91,72.06,19125,40475.05,2334490.78945045,44.43486902450569,38.694459334469514,NaN,NaN
2022-01-14T09:34:00-05:00,72.029,72.14,71.7172,72.14,18584,40542.8,2353074.78945045,46.1820774376364,39.204463467641055,NaN,NaN
2022-01-14T09:35:00-05:00,71.94,72.9,71.8301,72.71,31741,40636.9,2373542.231173975,56.643022493194664,40.71544774195445,NaN,NaN
2022-01-14T09:36:00-05:00,72.8479,73.4799,72.68,73.28,46702,42068.9,2396901.9888936896,64.1478952258446,42.883793953293434,NaN,NaN
2022-01-14T09:37:00-05:00,73.26,74,73.2532,74,51465,44029.85,2448366.9888936896,70.98088563253893,45.38693682630937,NaN,NaN
2022-01-14T09:38:00-05:00,73.8556,74.35,73.55,74.32,46414,45101.15,2491299.9388936893,73.40676648410962,48.097359529977545,NaN,NaN
2022-01-14T09:39:00-05:00,74.315,74.44,73.52,73.57,26628,44288.45,2467566.286719776,60.616681315905595,50.01137441999343,NaN,NaN
2022-01-14T09:40:00-05:00,73.67,74.4,73.609,74.1275,56303,44599.2,2485076.448540256,65.43740244000874,52.00801656629845,NaN,NaN
2022-01-14T09:41:00-05:00,74.21,74.58,74,74.17,67858,46025.15,2456997.2761264634,65.78127087841195,53.80180969538272,NaN,NaN
2022-01-14T09:42:00-05:00,74.135,74.93,74.08,74.42,73558,47651.15,2442285.6761264633,67.810081812323,55.84298287174729,NaN,NaN
2022-01-14T09:43:00-05:00,74.44,74.6599,74.1101,74.4494,35661,47913.7,2450639.8718339936,68.04998760640778,57.84701931086937,NaN,NaN
2022-01-14T09:44:00-05:00,74.54,75.18,74.5,74.78,57524,47507.75,2440488.5777163464,70.69486079955934,60.84819158452134,NaN,NaN
2022-01-14T09:45:00-05:00,74.8,75.44,74.61,75.075,44408,47960.5,2445838.93916213,72.85428958307128,62.48605630801904,NaN,NaN
2022-01-14T09:46:00-05:00,75.204,75.25,74.825,75.14,37303,47680.75,2463832.150926836,73.32078160787636,64.31149088152779,NaN,NaN
2022-01-14T09:47:00-05:00,75.105,75.41,74.96,75.12,43732,47443.65,2451198.462037949,72.9056312576573,66.34511675532433,NaN,NaN
2022-01-14T09:48:00-05:00,75.12,75.14,74.265,74.7028,46433,47906.85,2451230.301809377,64.67868783317559,67.66630321214856,NaN,NaN
2022-01-14T09:49:00-05:00,74.64,74.68,73.88,73.88,49676,46659.9,2401554.301809377,52.17415370985578,67.34709829905293,NaN,NaN
2022-01-14T09:50:00-05:00,73.9479,74.3173,73.88,74.06,28367,42948.9,2396539.9658843833,54.25762688356652,66.64065056031879,NaN,NaN
2022-01-14T09:51:00-05:00,74.2799,74.29,73.91,74.1707,19845,41680.3,2403924.394831751,55.54040215251107,65.53775888317394,NaN,NaN
2022-01-14T09:52:00-05:00,74.18,74.28,73.73,74,42984,42215.55,2403142.867559023,53.06900025288937,64.08506129522962,NaN,NaN
2022-01-14T09:53:00-05:00,74,74.1382,73.88,73.92,12845,41901.55,2394277.728132223,51.903343089318355,63.46267999333054,NaN,NaN
2022-01-14T09:54:00-05:00,73.83,74.17,73.69,74.04,17473,41846,2402286.1864655567,53.551423077430805,62.613681467432116,NaN,NaN
2022-01-14T09:55:00-05:00,73.97,74.44,73.93,74.325,21738,41345.85,2414220.774700851,57.29423654020087,62.00746472898847,NaN,NaN
2022-01-14T09:56:00-05:00,74.3829,74.59,74.1,74.2733,24330,40227.25,2407100.5257212603,56.40629633419591,61.19290862340796,NaN,NaN
2022-01-14T09:57:00-05:00,74.2,74.2408,73.85,74.03,17765,38542.25,2405700.4182494082,52.298593277118236,60.06780902845871,NaN,NaN
2022-01-14T09:58:00-05:00,74.13,74.23,73.74,73.83,14361,36939.6,2396614.8876371635,49.131204057987325,58.52754783263214,NaN,NaN
2022-01-14T09:59:00-05:00,73.825,74,73.5842,73.65,11920,36204.2,2388467.547569824,46.40710381296865,56.63846313476767,NaN,NaN
2022-01-14T10:00:00-05:00,73.5724,73.88,73.15,73.357,26005,34689.3,2377210.588665714,42.29611793645209,54.422415729665936,NaN,NaN
2022-01-14T10:01:00-05:00,73.32,73.33,72.85,72.99,31384,32865.6,2364133.9219990475,37.781473629395094,51.9135473276472,NaN,NaN
2022-01-14T10:02:00-05:00,72.85,72.9,72.58,72.72,21909,30283.15,2361395.296999047,34.83550870728956,49.78189167579819,NaN,NaN
2022-01-14T10:03:00-05:00,72.74,72.8,72.5101,72.615,23971,29698.65,2354772.0576061527,33.7339046923892,48.46473103169343,NaN,NaN
2022-01-14T10:04:00-05:00,72.57,72.88,72.37,72.88,24555,28050.2,2379327.0576061527,38.97867246103059,47.37337714436944,NaN,NaN
2022-01-14T10:05:00-05:00,72.8023,73.34,72.77,73.245,23812,27020.4,2395201.7242728197,45.38987803350656,46.648339707297694,NaN,NaN
2022-01-14T10:06:00-05:00,73.2311,73.71,73.13,73.6754,21972,26253.85,2414552.237376268,51.8182983709182,46.55900385858547,NaN,NaN
2022-01-14T10:07:00-05:00,73.47,73.827,73.32,73.4066,27590,25446.75,2396387.460255953,48.01670907235161,46.28138714308784,NaN,NaN
2022-01-14T10:08:00-05:00,73.3748,73.57,73.18,73.37,14832,23866.7,2396007.1525636455,47.505658480332535,45.84954681472367,NaN,NaN
2022-01-14T10:09:00-05:00,73.37,73.44,72.86,72.965,12840,22024.9,2387816.118080887,42.158585009934264,44.768428848276066,NaN,NaN
