time,open,high,low,close,Volume,Volume MA,Accumulation/Distribution,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2022-01-14T09:30:00-05:00,65.18,65.65,65,65.43,13037,7584.35,-315214.9039,42.1106357,52.08758839,NaN,NaN
2022-01-14T09:31:00-05:00,65.43,65.5818,65.32,65.5818,2375,7533.1,-312839.9039,45.30751443,51.51248394,NaN,NaN
2022-01-14T09:32:00-05:00,65.81,66.65,65.81,66.15,5000,7658.1,-313792.2849,55.26573664,51.53038423,NaN,NaN
2022-01-14T09:33:00-05:00,66.16,66.66,66.16,66.5,1800,7527.45,-313144.2849,60.08659557,52.09367233,NaN,NaN
2022-01-14T09:34:00-05:00,66.2147,66.49,66,66.49,5100,7643.95,-308044.2849,59.88801321,53.27143837,NaN,NaN
2022-01-14T09:35:00-05:00,66.28,66.28,65.86,65.86,400,7453.95,-308444.2849,48.91903459,53.90583137,NaN,NaN
2022-01-14T09:36:00-05:00,66.69,66.98,66.42,66.9,919,7351.65,-307787.8563,61.46619942,54.50460176,NaN,NaN
2022-01-14T09:37:00-05:00,66.56,66.56,66.3001,66.3001,1200,7259.25,-308987.8563,53.32891558,54.91975673,NaN,NaN
2022-01-14T09:38:00-05:00,67,67.56,66.8,67.56,2111,7077.3,-306876.8563,64.08322134,55.94105007,NaN,NaN
2022-01-14T09:39:00-05:00,67.76,67.76,67.12,67.185,3200,7065.3,-309426.8563,59.67553497,56.05515651,NaN,NaN
2022-01-14T09:40:00-05:00,67.06,67.77,67.06,67.73,2026,6866.4,-307629.138,63.59459678,56.53421806,NaN,NaN
2022-01-14T09:41:00-05:00,67.75,67.885,67.4616,67.4616,1521,6612.9,-309150.138,60.47731069,56.18902517,NaN,NaN
2022-01-14T09:42:00-05:00,67.16,67.5,67.16,67.2356,650,6362.8,-309511.0792,57.90352684,56.17580864,NaN,NaN
2022-01-14T09:43:00-05:00,67.15,67.47,66.6501,67.074,1980,6148.2,-309443.7026,56.06615124,56.2980705,NaN,NaN
2022-01-14T09:44:00-05:00,67.4,67.4,67.31,67.31,600,5862.3,-310043.7026,58.15447248,57.44405884,NaN,NaN
2022-01-14T09:45:00-05:00,67.2114,67.4,67.0585,67.0973,1982,5264.15,-311575.3272,55.58979195,58.17850724,NaN,NaN
2022-01-14T09:46:00-05:00,67.65,68.16,67.63,68.16,2844,4643,-308731.3272,64.10684991,58.81001533,NaN,NaN
2022-01-14T09:47:00-05:00,67.8836,68.15,67.61,67.635,2033,4048.75,-310576.0865,58.17144994,58.67321921,NaN,NaN
