time,open,high,low,close,Volume,Volume MA,Accumulation/Distribution,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2022-01-14T09:30:00-05:00,228.03,229,227.6074,229,114423,34205.4,-94996.70248704328,55.35994902039681,38.83252604416837,NaN,NaN
2022-01-14T09:31:00-05:00,228.7601,229.98,228.7601,229.845,7677,33285.05,-89018.84995814736,65.78447679522247,40.759055880080254,NaN,NaN
2022-01-14T09:32:00-05:00,229.855,230.83,229.855,230.4,17055,33584.85,-87007.23457353187,70.63494330291957,43.13912682858984,NaN,NaN
2022-01-14T09:33:00-05:00,230.51,230.8161,229.29,229.5847,11068,33571.5,-93800.62661861406,57.695601804153355,44.542371416730816,NaN,NaN
2022-01-14T09:34:00-05:00,229.74,229.79,229,229.4464,9357,33160.65,-92583.03218823393,55.82737664687434,46.56876719067838,NaN,NaN
2022-01-14T09:35:00-05:00,229.53,229.96,228.51,229.96,8433,32872.1,-84150.03218823393,60.89192235785408,48.714190063646235,NaN,NaN
2022-01-14T09:36:00-05:00,229.935,230.55,229.8928,230.185,8849,32033.3,-85130.26225518461,62.898784882213484,50.743301523773845,NaN,NaN
2022-01-14T09:37:00-05:00,230.23,231.21,229.82,231.03,20633,32112.6,-69841.06081633584,69.2754737057829,52.955688106754906,NaN,NaN
2022-01-14T09:38:00-05:00,230.86,231.7,230.68,231.17,23315,32547.05,-70755.37454182652,70.18965045057432,55.593114653800626,NaN,NaN
2022-01-14T09:39:00-05:00,231.2186,231.46,230.36,230.51,12224,32336.05,-79645.55636000882,60.97834488920486,57.724632057424344,NaN,NaN
2022-01-14T09:40:00-05:00,230.59,231.94,230.5,231.78,11035,30608.75,-71062.778582231,69.32144535396898,59.527967143227805,NaN,NaN
2022-01-14T09:41:00-05:00,231.7,231.7519,230.77,230.77,7493,29036.6,-78555.778582231,58.592309592624375,60.46435503760358,NaN,NaN
2022-01-14T09:42:00-05:00,230.78,231.11,230.41,230.47,11372,28756.6,-87978.29286794526,55.82832090044771,61.63601799597649,NaN,NaN
2022-01-14T09:43:00-05:00,230.25,230.5551,230.15,230.245,6214,27965.2,-91277.80261862418,53.77925296857505,61.93270376220068,NaN,NaN
2022-01-14T09:44:00-05:00,230.32,231.23,230.32,230.93,4463,27393.9,-89757.43998126138,58.74384205531833,62.17441040755222,NaN,NaN
2022-01-14T09:45:00-05:00,230.935,231.1399,230.6,230.89,4188,25459.75,-89446.3846006356,58.34971234828052,61.64335580419923,NaN,NaN
