time,open,high,low,close,Volume,Volume MA,Accumulation/Distribution,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2022-01-14T09:30:00-05:00,64.2,64.2,63.94,63.94,7653,3475.65,-307735.4625,39.54438707,35.58621551,NaN,NaN
2022-01-14T09:31:00-05:00,63.85,63.85,63.72,63.7298,500,3435.65,-308160.0778,29.76380644,35.72981518,NaN,NaN
2022-01-14T09:32:00-05:00,63.54,63.54,63.28,63.28,1092,3440.25,-309252.0778,18.95821321,35.53510343,NaN,NaN
2022-01-14T09:33:00-05:00,63.05,63.05,63.05,63.05,100,3395.25,-309252.0778,15.79958268,34.8233897,NaN,NaN
2022-01-14T09:34:00-05:00,63.07,63.07,63.07,63.07,100,3324.25,-309252.0778,17.09311964,33.26083576,NaN,NaN
2022-01-14T09:35:00-05:00,62.85,62.85,62.85,62.85,202,3284.35,-309252.0778,14.46133498,31.37541992,NaN,NaN
2022-01-14T09:36:00-05:00,62.65,62.65,62.65,62.65,100,3169.35,-309252.0778,12.56701571,29.52749373,NaN,NaN
2022-01-14T09:37:00-05:00,62.93,62.93,62.93,62.93,200,3149.35,-309252.0778,26.98680355,28.40269689,NaN,NaN
2022-01-14T09:40:00-05:00,63.13,63.13,63.13,63.13,200,2970.95,-309252.0778,35.20676667,27.80447079,NaN,NaN
2022-01-14T09:41:00-05:00,63.29,63.4,63.29,63.4,1300,2985.95,-307952.0778,44.32024698,28.52113331,NaN,NaN
2022-01-14T09:44:00-05:00,63.66,63.72,63.5263,63.59,1302,2921.05,-308397.7288,49.68362571,29.65354178,NaN,NaN
2022-01-14T09:46:00-05:00,63.8,63.83,63.8,63.83,600,2802.75,-307797.7288,55.51293673,30.97620704,NaN,NaN
2022-01-14T09:47:00-05:00,63.84,64.01,63.67,63.67,780,2716.75,-308577.7288,51.25012419,32.19231076,NaN,NaN
2022-01-14T09:48:00-05:00,63.89,63.91,63.89,63.91,200,2501.15,-308377.7288,56.6299465,33.41270786,NaN,NaN
