time,open,high,low,close,Volume,Volume MA,Accumulation/Distribution,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2022-01-14T09:30:00-05:00,683.57,684.99,681.8,684.99,14572,7750.15,160074.4025,34.00584107,33.18054165,NaN,NaN
2022-01-14T09:31:00-05:00,685.81,688.7099,685.69,688.7099,1995,7770,162069.4025,49.56267782,34.08118861,NaN,NaN
2022-01-14T09:32:00-05:00,689.34,691.45,689.34,689.925,1263,7743.6,161506.739,53.42488175,35.42726825,NaN,NaN
2022-01-14T09:33:00-05:00,689.16,689.34,688.3982,688.3982,1902,7768.7,159604.739,48.40882402,36.0514982,NaN,NaN
2022-01-14T09:34:00-05:00,688,688,686.3,686.97,1613,7807.6,159263.1625,44.22583645,37.11688532,NaN,NaN
2022-01-14T09:35:00-05:00,686.57,689.81,686.57,689.8,1633,7614.8,160886.0823,52.90906859,38.98842056,NaN,NaN
2022-01-14T09:36:00-05:00,690.43,692.0599,690.3937,691.839,2396,7665.4,162646.7727,57.98450409,40.63827974,NaN,NaN
2022-01-14T09:37:00-05:00,691.1286,692.41,691.07,692.41,3100,7675.4,165746.7727,59.30719163,42.74057658,NaN,NaN
2022-01-14T09:38:00-05:00,693.0338,695.99,692.875,695.11,3067,7675,167080.8931,64.92935946,45.84214546,NaN,NaN
2022-01-14T09:39:00-05:00,695.66,695.66,694.52,694.695,1550,7578.55,166006.7703,63.47766211,48.7804429,NaN,NaN
2022-01-14T09:40:00-05:00,695.27,697.92,695,697.235,2635,7486.65,167405.486,68.16861246,50.91129325,NaN,NaN
2022-01-14T09:41:00-05:00,697.92,697.92,695.64,695.64,2411,7166.25,164994.486,62.72076121,52.5461193,NaN,NaN
2022-01-14T09:42:00-05:00,696.564,696.564,695.53,695.995,1400,6923,164853.6737,63.42144122,54.42522013,NaN,NaN
2022-01-14T09:43:00-05:00,695.25,696.0199,694.49,695.005,3400,6594.4,163742.7122,60.03274664,55.89852918,NaN,NaN
2022-01-14T09:44:00-05:00,695.585,695.585,695.585,695.585,100,5981.25,163742.7122,61.33615019,57.85069412,NaN,NaN
2022-01-14T09:45:00-05:00,695.785,697.48,694.79,697.48,1160,5702.55,164902.7122,65.31602461,58.97593317,NaN,NaN
2022-01-14T09:46:00-05:00,695.94,695.94,695.575,695.675,1023,5371.8,164440.2601,59.07805651,59.37973137,NaN,NaN
2022-01-14T09:47:00-05:00,695.89,696.41,695.36,695.4,1050,4949,163470.2601,58.16659731,60.07671518,NaN,NaN
2022-01-14T09:48:00-05:00,694.52,695.19,694.02,695.13,710,4280.9,164107.4396,57.23297101,61.00579622,NaN,NaN
2022-01-14T09:49:00-05:00,694.465,694.8457,694.19,694.29,715,2384.75,163610.5271,54.31220311,61.10602011,NaN,NaN
2022-01-14T09:50:00-05:00,694.68,695.78,694.68,695.78,1000,1706.15,164610.5271,58.3704983,61.13359113,NaN,NaN
2022-01-14T09:51:00-05:00,695.07,696.4399,695.0601,695.0601,440,1628.4,164170.5271,55.79189169,60.88249827,NaN,NaN
2022-01-14T09:52:00-05:00,696.43,696.45,695.06,695.06,987,1614.6,163183.5271,55.79152299,60.22979567,NaN,NaN
2022-01-14T09:53:00-05:00,695.445,695.7575,694.95,694.95,900,1564.5,162283.5271,55.35815156,59.64983063,NaN,NaN
2022-01-14T09:54:00-05:00,695.4,696.175,695.385,696.175,1100,1538.85,163383.5271,59.16249207,59.00653631,NaN,NaN
2022-01-14T09:55:00-05:00,696.89,698.07,696.89,697.78,2321,1573.25,164563.6966,63.54585797,59.0654718,NaN,NaN
2022-01-14T09:56:00-05:00,698.05,698.56,698.05,698.35,502,1478.55,164652.2849,64.98335683,59.1770372,NaN,NaN
2022-01-14T09:57:00-05:00,698.5,698.5,696.305,696.825,1445,1395.8,163891.9318,58.3534581,59.05708802,NaN,NaN
2022-01-14T09:58:00-05:00,697.1,697.35,695.82,696.21,1600,1322.45,163107.6181,55.8775634,58.66718896,NaN,NaN
2022-01-14T09:59:00-05:00,696.4699,698.3299,696.3,697.945,3453,1417.6,165251.1351,60.91577211,58.35288521,NaN,NaN
2022-01-14T10:00:00-05:00,698.67,699.015,696.66,698,5790,1575.35,166050.1797,61.06753879,58.49499109,NaN,NaN
2022-01-14T10:01:00-05:00,697.815,699.0725,697,698.4399,8592,1884.4,169397.0176,62.32755083,58.79220205,NaN,NaN
2022-01-14T10:02:00-05:00,697.91,698.315,696.895,697.85,1505,1889.65,169916.3486,59.54454611,58.95731456,NaN,NaN
