time,open,high,low,close,Volume,Volume MA,Accumulation/Distribution,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2022-01-14T09:30:00-05:00,72.75,73.36,72.74,73.27,171878,50570.05,4984544.382751779,22.837709058122513,32.55420270019125,NaN,NaN
2022-01-14T09:31:00-05:00,73.24,73.3399,72.8894,73.09,42344,52134.15,4979910.5110536665,21.598891543913368,31.914270468353447,NaN,NaN
2022-01-14T09:32:00-05:00,73.129,73.28,73.02,73.16,54982,53994.2,4984139.8956690505,23.34042344838994,31.36069307538934,NaN,NaN
2022-01-14T09:33:00-05:00,73.15,73.32,73.075,73.19,53910,56116.25,4980839.283424152,24.11837713057797,30.7827003998438,NaN,NaN
2022-01-14T09:34:00-05:00,73.2022,73.2022,72.66,72.82,65792,58351.75,4953876.940377304,21.253634068210843,30.65006149837327,NaN,NaN
2022-01-14T09:35:00-05:00,72.81,73.35,72.67,73.33,103223,61123.45,5051027.999200835,33.056769639471014,31.530675139910585,NaN,NaN
2022-01-14T09:36:00-05:00,73.34,73.4799,73.09,73.4,62556,62387.65,5087945.505228023,34.50777549163996,32.33589354970307,NaN,NaN
2022-01-14T09:37:00-05:00,73.41,73.6599,73.26,73.6099,38013,63426.15,5116452.878821421,38.791977394936524,32.90834948861996,NaN,NaN
2022-01-14T09:38:00-05:00,73.6299,74.1364,73.5948,74.1,86826,66198.85,5191608.028009013,47.43787435220182,33.94010021502536,NaN,NaN
2022-01-14T09:39:00-05:00,74.125,74.1987,73.61,73.71,46584,67489.65,5160850.085423655,42.31555832491456,34.9163441195219,NaN,NaN
2022-01-14T09:40:00-05:00,73.72,74.14,73.675,74.1062,48879,66316.8,5202623.235101074,48.410091607100014,35.241967254759814,NaN,NaN
2022-01-14T09:41:00-05:00,74.14,74.1843,73.59,73.593,67055,64742.3,5136245.216423638,42.191855046961344,34.88634174992101,NaN,NaN
2022-01-14T09:42:00-05:00,73.62,73.9,73.58,73.6,36700,64733.65,5104132.716423637,42.3007224308011,34.78885305828371,NaN,NaN
2022-01-14T09:43:00-05:00,73.59,73.7396,73.4408,73.6901,26670,63843.15,5121966.2706405055,43.76863046935347,34.709306429042364,NaN,NaN
2022-01-14T09:44:00-05:00,73.72,74.03,73.72,73.92,36922,63434.25,5132685.560963087,47.44280289070076,36.466813131369385,NaN,NaN
2022-01-14T09:45:00-05:00,73.97,74.16,73.73,74.0066,61781,64353.35,5150386.53584681,48.79991327221657,38.40974325481961,NaN,NaN
2022-01-14T09:46:00-05:00,74.08,74.4,74,74.38,40627,63040.7,5186950.835846808,54.281610055339165,40.619828012458846,NaN,NaN
2022-01-14T09:47:00-05:00,74.34,74.52,74.03,74.07,89355,64360.45,5112184.407275377,49.53953621207423,42.43562508970858,NaN,NaN
2022-01-14T09:48:00-05:00,74.0758,74.16,73.74,74,44683,65212.7,5122823.2167991875,48.50901002376148,44.3824376579622,NaN,NaN
2022-01-14T09:49:00-05:00,73.97,74.1398,73.65,73.66,58513,61864.65,5066699.477722011,43.748674581235946,45.14614515380255,NaN,NaN
2022-01-14T09:50:00-05:00,73.6601,74.01,73.57,73.8599,57720,56156.75,5085038.695903827,47.03936402036302,46.041258620139914,NaN,NaN
2022-01-14T09:51:00-05:00,73.89,74.01,73.64,73.95,49806,56529.85,5118691.398606529,48.50168868765437,46.73480942676262,NaN,NaN
2022-01-14T09:52:00-05:00,73.99,74.08,73.54,73.68,60970,56829.25,5089335.472680604,44.533426298265155,46.52734885148143,NaN,NaN
2022-01-14T09:53:00-05:00,73.69,73.86,73.62,73.7499,41382,56202.85,5092749.487680602,45.770448874370565,46.77412674787114,NaN,NaN
2022-01-14T09:54:00-05:00,73.74,73.89,73.6,73.8527,14876,53657.05,5103798.764921981,47.620600920642715,46.71773455598134,NaN,NaN
2022-01-14T09:55:00-05:00,73.85,74.54,73.85,74.53,96416,53316.7,5197420.098255313,57.829005959244945,47.83467390685873,NaN,NaN
2022-01-14T09:56:00-05:00,74.55,74.68,74.34,74.34,58143,53096.05,5139277.098255313,54.61346307086486,48.714155381149006,NaN,NaN
2022-01-14T09:57:00-05:00,74.37,74.55,74.25,74.44,92500,55820.4,5163943.764921979,56.00018849438279,49.58783809722252,NaN,NaN
2022-01-14T09:58:00-05:00,74.46,74.63,74.4599,74.49,47574,53857.8,5133206.653810863,56.7123558614355,50.249949023703586,NaN,NaN
2022-01-14T09:59:00-05:00,74.48,74.57,74.43,74.47,22625,52659.85,5123510.225239433,56.319678292478486,50.78707509657943,NaN,NaN
2022-01-14T10:00:00-05:00,74.47,74.59,74.05,74.1,69383,53685.05,5066975.928943136,49.49232090586339,50.44498301447402,NaN,NaN
2022-01-14T10:01:00-05:00,74.11,74.11,73.78,73.79,52214,52943,5017926.413791622,44.61260328183046,50.09305923374232,NaN,NaN
2022-01-14T10:02:00-05:00,73.78,73.96,73.62,73.86,44893,53352.65,5036411.766732799,45.909481059837006,49.907378593462,NaN,NaN
2022-01-14T10:03:00-05:00,73.8099,73.8099,73.5803,73.735,63191,55178.7,5058374.492342556,43.93133152416941,49.920425517957256,NaN,NaN
2022-01-14T10:04:00-05:00,73.64,73.93,73.64,73.845,19001,54282.65,5066236.975101176,46.13102809269069,49.85554438026637,NaN,NaN
2022-01-14T10:05:00-05:00,73.8,74.2852,73.8,74.1043,57405,54063.85,5080836.680377349,51.01016522488533,50.034721275782864,NaN,NaN
2022-01-14T10:06:00-05:00,74.04,74.085,73.91,74,24124,53238.7,5081525.937520208,49.08435323914841,50.35978748584595,NaN,NaN
2022-01-14T10:07:00-05:00,73.98,74.3994,73.96,74.009,30083,50275.1,5058152.391320846,49.26235746956177,50.6092095283596,NaN,NaN
2022-01-14T10:08:00-05:00,74.009,74.35,74.009,74.35,11552,48618.55,5069704.391320846,55.59656361642628,51.178921149487,NaN,NaN
2022-01-14T10:09:00-05:00,74.32,74.32,73.98,74.08,26805,47033.15,5058667.038379669,50.24758155591863,50.637390834963696,NaN,NaN
2022-01-14T10:10:00-05:00,74.025,74.16,73.87,74.05,17566,45025.45,5062907.107345186,49.675695740622665,50.284693168517826,NaN,NaN
2022-01-14T10:11:00-05:00,74.06,74.53,74.06,74.24,47881,44929.2,5051700.915855823,53.3008010050864,50.09187977642522,NaN,NaN
2022-01-14T10:12:00-05:00,74.2,74.28,74.05,74.14,83563,46058.85,5033535.046290607,51.20992598951478,49.69884907128802,NaN,NaN
2022-01-14T10:13:00-05:00,74.15,74.22,74.04,74.15,21674,45073.45,5038351.490735052,51.41517433717747,49.3485273601951,NaN,NaN
2022-01-14T10:14:00-05:00,74.17,74.21,73.81,73.95,39284,46293.85,5026566.290735053,47.14362122743395,49.18076309745014,NaN,NaN
2022-01-14T10:15:00-05:00,73.99,74.49,73.96,74.3,41480,43547.05,5038305.913376562,54.299146796207836,49.87265906276281,NaN,NaN
2022-01-14T10:16:00-05:00,74.25,74.5169,74.15,74.49,26464,41963.1,5060889.392253639,57.650803624565135,50.711324960243395,NaN,NaN
2022-01-14T10:17:00-05:00,74.45,74.59,74.31,74.38,39081,39292.15,5041348.892253637,55.12995569104925,51.51122668644909,NaN,NaN
2022-01-14T10:18:00-05:00,74.42,74.65,74.38,74.53,54120,39619.45,5047362.22558697,57.8373554338521,52.34739292510348,NaN,NaN
2022-01-14T10:19:00-05:00,74.62,75.01,74.61,74.929,117515,44363.95,5117283.650586969,64.0510318625567,53.27888339922286,NaN,NaN
2022-01-14T10:20:00-05:00,74.89,74.9296,74.42,74.51,69649,44377.25,5072235.945720408,54.90092324868059,53.694352685618014,NaN,NaN
2022-01-14T10:21:00-05:00,74.46,74.56,74.38,74.48,25635,43048.3,5075084.279053743,54.30276788625932,54.054382001096414,NaN,NaN
2022-01-14T10:22:00-05:00,74.44,74.44,74.2,74.249,37132,42660.25,5053114.5123870745,49.80323609871677,53.64057289268858,NaN,NaN
2022-01-14T10:23:00-05:00,74.23,74.38,74.17,74.2,22497,40625.55,5037045.226672789,48.87805227122852,53.542749372353576,NaN,NaN
2022-01-14T10:24:00-05:00,74.2,74.2,73.9,74.03,25814,40966.2,5033603.360006122,45.70572082158619,53.259179735279545,NaN,NaN
2022-01-14T10:25:00-05:00,74,74.28,73.93,74.12,53069,40749.4,5038152.131434694,47.64310960686456,52.855058921120836,NaN,NaN
2022-01-14T10:26:00-05:00,74.14,74.24,73.78,73.85,26582,40872.3,5019660.305347737,42.71836950684152,52.248519172358456,NaN,NaN
2022-01-14T10:27:00-05:00,73.86,74.1,73.84,74.1,22523,40494.3,5042183.305347737,48.070852958927254,52.00963907391202,NaN,NaN
