time,open,high,low,close,Volume,Volume MA,Accumulation/Distribution,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2022-01-14T09:30:00-05:00,227,227.55,226.59,227.5025,27281,10218,1021469.6122002582,66.66239004531789,41.486527653109626,NaN,NaN
2022-01-14T09:31:00-05:00,227.4427,227.56,227.15,227.56,2907,10313.35,1024376.6122002582,67.49313724462057,43.84437559349566,NaN,NaN
2022-01-14T09:32:00-05:00,227.57,227.57,227.09,227.19,2400,10363.55,1022976.6122002582,57.554393966632595,45.07395769923984,NaN,NaN
2022-01-14T09:33:00-05:00,227.13,227.315,227.12,227.23,500,10323.55,1023040.7147643607,58.269820528348745,46.73824803817099,NaN,NaN
2022-01-14T09:34:00-05:00,227.17,227.17,227.07,227.14,900,10179.9,1023400.7147643607,55.98338642994982,48.6598094194975,NaN,NaN
2022-01-14T09:35:00-05:00,227.39,227.52,227.02,227.245,2919,9886.5,1023108.8147643607,58.05144795776361,50.30744025317957,NaN,NaN
2022-01-14T09:36:00-05:00,227.22,227.335,226.98,227.335,4713,9987.75,1027821.8147643607,59.79511495255808,51.828284380420016,NaN,NaN
2022-01-14T09:37:00-05:00,227.205,227.23,227.18,227.185,1000,9625,1027021.8147643605,55.643701240117345,52.996433297298196,NaN,NaN
2022-01-14T09:38:00-05:00,227.185,227.36,227,227.27,6939,9836.9,1030491.3147643605,57.446622247553094,54.618011085495205,NaN,NaN
2022-01-14T09:39:00-05:00,227.15,227.15,227.095,227.095,350,9749.4,1030141.3147643605,52.69748125106297,55.8104467781642,NaN,NaN
2022-01-14T09:40:00-05:00,227.09,227.53,227,227.45,2100,9125.55,1031607.3525002095,59.93360268591912,56.85668585091603,NaN,NaN
2022-01-14T09:41:00-05:00,227.65,228.16,227.65,227.95,2640,8887.35,1032073.2348531506,67.47941873852923,58.196690169742915,NaN,NaN
2022-01-14T09:42:00-05:00,227.95,228.31,227.94,228.2292,1013,8663,1032643.8002585559,70.78783234416211,60.060631587250036,NaN,NaN
2022-01-14T09:43:00-05:00,228.27,228.47,227.65,227.815,7014,8581.3,1028452.5075756289,60.891043988638756,60.62067097294088,NaN,NaN
2022-01-14T09:44:00-05:00,228.3399,228.3399,228.3399,228.3399,100,8251.35,1028452.5075756289,67.15751265081205,60.65603687333332,NaN,NaN
