time,open,high,low,close,Volume,Volume MA,Accumulation/Distribution,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2022-01-14T09:30:00-05:00,44.48,44.65,44.43,44.645,11581,6688.1,1260100.69,25.18769139,32.00516165,NaN,NaN
2022-01-14T09:31:00-05:00,44.63,45,44.63,45,8364,6738.4,1268464.69,54.68586561,33.74814847,NaN,NaN
2022-01-14T09:32:00-05:00,44.95,45.27,44.95,45.27,315,6484.5,1268779.69,65.74779167,36.33680359,NaN,NaN
2022-01-14T09:33:00-05:00,45.3281,45.3281,45.23,45.23,7255,6742.35,1261524.69,63.28308295,38.61394878,NaN,NaN
2022-01-14T09:34:00-05:00,45.12,45.13,44.99,44.99,4108,6428.05,1257416.69,50.94330186,40.43174305,NaN,NaN
2022-01-14T09:35:00-05:00,44.89,45.13,44.89,45.1,2600,6180.2,1259366.69,55.25031264,42.68578475,NaN,NaN
2022-01-14T09:36:00-05:00,45.16,45.16,45.09,45.09,1223,6126.1,1258143.69,54.77945744,44.29303104,NaN,NaN
2022-01-14T09:37:00-05:00,45.18,45.2,45.17,45.17,600,5731.1,1257543.69,57.87254706,46.27744925,NaN,NaN
2022-01-14T09:38:00-05:00,45.3359,45.35,45.28,45.31,5823,5910.4,1256711.833,62.68300214,48.65651419,NaN,NaN
2022-01-14T09:39:00-05:00,45.33,45.33,45.09,45.1,1270,5513.95,1255547.667,52.92126478,50.33831218,NaN,NaN
2022-01-14T09:40:00-05:00,45.1499,45.32,45.08,45.31,5535,5482.35,1260621.417,59.68289416,51.78767504,NaN,NaN
2022-01-14T09:41:00-05:00,45.38,45.4,45.26,45.28,2465,5478.75,1258860.702,58.39265145,52.83774257,NaN,NaN
2022-01-14T09:42:00-05:00,45.2787,45.31,45.21,45.235,1520,5061.1,1258100.702,56.42227996,53.96858623,NaN,NaN
2022-01-14T09:43:00-05:00,45.2,45.2,45.12,45.175,1496,5041.85,1258661.702,53.81483385,55.11906978,NaN,NaN
2022-01-14T09:44:00-05:00,45.18,45.25,45.16,45.25,681,4912.15,1259342.702,56.51973611,57.35707298,NaN,NaN
2022-01-14T09:45:00-05:00,45.225,45.36,45.225,45.35,1447,4501.7,1260575.332,59.89258697,57.72898164,NaN,NaN
2022-01-14T09:46:00-05:00,45.33,45.39,45.33,45.375,3032,4533.25,1262091.332,60.71308508,57.36935975,NaN,NaN
2022-01-14T09:47:00-05:00,45.385,45.39,45.14,45.15,5800,4544.1,1256755.332,50.66683657,56.46819929,NaN,NaN
2022-01-14T09:48:00-05:00,45.09,45.1405,45,45.13,2511,4234.7,1258891.022,49.87679075,56.39201993,NaN,NaN
2022-01-14T09:49:00-05:00,45.12,45.12,45.07,45.08,1400,3451.3,1258051.022,47.86727291,55.86465995,NaN,NaN
2022-01-14T09:50:00-05:00,45.04,45.21,45.04,45.205,21200,3932.25,1278003.964,52.96884154,55.73533024,NaN,NaN
2022-01-14T09:51:00-05:00,45.21,45.25,45.21,45.25,500,3539.05,1278503.964,54.68791532,55.50785654,NaN,NaN
2022-01-14T09:52:00-05:00,45.14,45.15,45.12,45.15,600,3553.3,1279103.964,50.28892169,54.62256508,NaN,NaN
2022-01-14T09:53:00-05:00,45.12,45.12,45.12,45.12,300,3205.55,1279103.964,49.015131,54.34355553,NaN,NaN
2022-01-14T09:55:00-05:00,45.05,45.2623,45.05,45.2623,3108,3155.55,1282211.964,54.85619824,53.99879153,NaN,NaN
2022-01-14T09:56:00-05:00,45.25,45.25,45.23,45.23,300,3040.55,1281911.964,53.36180895,53.63944564,NaN,NaN
2022-01-14T09:58:00-05:00,45.145,45.23,45.145,45.21,2232,3091,1283093.611,52.40975334,53.35283659,NaN,NaN
2022-01-14T09:59:00-05:00,45.0934,45.14,45.0934,45.14,800,3101,1283893.611,49.10734372,53.0165873,NaN,NaN
2022-01-14T10:00:00-05:00,45.15,45.15,44.98,45.01,6912,3155.45,1279421.14,43.61132613,52.09455801,NaN,NaN
2022-01-14T10:01:00-05:00,44.92,44.92,44.85,44.86,1693,3176.6,1278211.854,38.28677451,50.5512857,NaN,NaN
2022-01-14T10:02:00-05:00,44.83,44.84,44.69,44.69,1874,2993.55,1276337.854,33.32142663,48.59473866,NaN,NaN
2022-01-14T10:03:00-05:00,44.69,44.69,44.6,44.6,368,2888.7,1275969.854,31.02727162,47.1919126,NaN,NaN
2022-01-14T10:04:00-05:00,44.6,44.6,44.59,44.59,550,2840.2,1275419.854,30.77374608,45.8274094,NaN,NaN
2022-01-14T10:05:00-05:00,44.74,44.75,44.74,44.75,515,2791.15,1275934.854,39.31745731,45.21670829,NaN,NaN
2022-01-14T10:06:00-05:00,44.82,44.88,44.82,44.85,1414,2827.8,1275934.854,43.97168863,44.57405451,NaN,NaN
2022-01-14T10:07:00-05:00,44.8122,44.8663,44.8122,44.8663,1046,2807.75,1276980.854,44.71600218,43.861775,NaN,NaN
2022-01-14T10:09:00-05:00,44.8107,44.8159,44.8107,44.8159,300,2671.15,1277280.854,42.82173905,43.32840481,NaN,NaN
2022-01-14T10:10:00-05:00,44.795,44.8247,44.795,44.8247,700,2416.15,1277980.854,43.27359439,42.91829505,NaN,NaN
2022-01-14T10:11:00-05:00,44.88,44.9849,44.88,44.8969,1289,2355.05,1277107.185,46.97596956,42.35542158,NaN,NaN
2022-01-14T10:12:00-05:00,44.87,44.87,44.8,44.8,1798,2374.95,1275309.185,42.92655314,41.61004616,NaN,NaN
